manuscript	mapped_by	Lane	expname	name	RH_cell	cell	condition	prot	rep	bigwig	fc_bw	meanBG	outerBG
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_Tmcherry_CTCF_rep1	C17_mCherry_CTCF_rep1	C17_Tmcherry	C17	mCherry	CTCF	rep1	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_Tmcherry_CTCF_rep1.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_Tmcherry_CTCF_rep1.fc.signal.bigwig	65.8	1.14
TRUE	PK	VER6376	VER6376_TACL_RH_Ehap1_TetO_C17_TetR-mCherry_FLAG	C17_mCherry_FLAG_rep1	C17_Tmcherry	C17	mCherry	FLAG	rep1	/TACL/PK/4DN_ChIP/remap_Iwan/outputs/chip.signal_p-value/VER6376_TACL_RH_Ehap1_TetO_C17_TetR-mCherry_FLAGxVER6376_TACL_RH_Ehap1_TetO_C17_TetR-mCherry_Input.pval.signal.bigwig	/TACL/PK/4DN_ChIP/remap_Iwan/outputs/chip.signal_fold-change/VER6376_TACL_RH_Ehap1_TetO_C17_TetR-mCherry_FLAGxVER6376_TACL_RH_Ehap1_TetO_C17_TetR-mCherry_Input.fc.signal.bigwig	0.23	0.25
TRUE	PK	VER9100	VER9100_TACL_RH_ChIP_seq_eHap1_Tmcherry_H3K27ac	C17_mCherry_H3K27ac_rep1	C17_Tmcherry	C17	mCherry	H3K27ac	rep1	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_Tmcherry_H3k27ac_rep2_rep1.D707xD508_S27_R1_001.srt.nodup_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_Tmcherry_H3k27ac_rep2_rep1.D707xD508_S27_R1_001.srt.nodup_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.fc.signal.bigwig	33.88	4.31
TRUE	PK	VER9100_VER9308	NA	C17_mCherry_H3K27ac_rep1_rep2	C17_Tmcherry	C17	mCherry	H3K27ac	rep1_rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_Tmcherry_H3k27ac_rep2_rep1.rep.pooled_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_Tmcherry_H3k27ac_rep2_rep1.rep.pooled_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.fc.signal.bigwig	66.04	7.77
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_Tmcherry_H3k27ac_rep2	C17_mCherry_H3K27ac_rep2	C17_Tmcherry	C17	mCherry	H3K27ac	rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_Tmcherry_H3k27ac_rep2_rep1.D701xD501_S23_R1_001.srt.nodup_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_Tmcherry_H3k27ac_rep2_rep1.D701xD501_S23_R1_001.srt.nodup_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.fc.signal.bigwig	33.96	4.05
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_Tmcherry_H3k27me3_rep1	C17_mCherry_H3K27me3_rep1	C17_Tmcherry	C17	mCherry	H3K27me3	rep1	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_Tmcherry_H3k27me3_rep1_rep2.D707xD501_S29_R1_001.srt.nodup_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_Tmcherry_H3k27me3_rep1_rep2.D707xD501_S29_R1_001.srt.nodup_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.fc.signal.bigwig	NA	NA
TRUE	PK	VER9308	NA	C17_mCherry_H3K27me3_rep1_rep2	C17_Tmcherry	C17	mCherry	H3K27me3	rep1_rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_Tmcherry_H3k27me3_rep1_rep2.rep.pooled_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_Tmcherry_H3k27me3_rep1_rep2.rep.pooled_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.fc.signal.bigwig	NA	NA
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_Tmcherry_H3k27me3_rep2	C17_mCherry_H3K27me3_rep2	C17_Tmcherry	C17	mCherry	H3K27me3	rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_Tmcherry_H3k27me3_rep1_rep2.D704xD501_S26_R1_001.srt.nodup_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_Tmcherry_H3k27me3_rep1_rep2.D704xD501_S26_R1_001.srt.nodup_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.fc.signal.bigwig	NA	NA
TRUE	PK	VER9308	VER9308_TACL_RH_ChIP_seq_eHAP1_C17_Tmcherry_H3k4me3_rep1	C17_mCherry_H3K4me3_rep1	C17_Tmcherry	C17	mCherry	H3K4me3	rep1	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_Tmcherry_H3k4me3_rep1_rep2.D707xD502_S41_R1_001.srt.nodup_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_Tmcherry_H3k4me3_rep1_rep2.D707xD502_S41_R1_001.srt.nodup_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.fc.signal.bigwig	855.95	23.13
TRUE	PK	VER9308	NA	C17_mCherry_H3K4me3_rep1_rep2	C17_Tmcherry	C17	mCherry	H3K4me3	rep1_rep2	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_p-value/eHAP1_C17_Tmcherry_H3k4me3_rep1_rep2.rep.pooled_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.pval.signal.bigwig	/TACL/PK/4DN_ChIP/outputs_VER9308/chip.signal_fold-change/eHAP1_C17_Tmcherry_H3k4me3_rep1_rep2.rep.pooled_x_VER7726_TACL_RH_Ehap1_C17_TetR-mcherry_Input.srt.nodup.fc.signal.bigwig	855.95	23.13
