manuscript	mapped_by	Lane	expname	name	RH_cell	cell	condition	prot	rep	bigwig	fc_bw
FALSE	encode	encode	NA	HAP1_WT_DNAse_rep1	HAP1	HAP1	WT	DNAse	rep1	/TACL/PK/Public_ChIP/Encode_DNAseI/HAP1_DNAse_ENCODE_hg38_ENCFF314TDG.bigwig	NA
FALSE	encode	encode	NA	HAP1_WT_DNAse_rep2	HAP1	HAP1	WT	DNAse	rep2	/TACL/PK/Public_ChIP/Encode_DNAseI/HAP1_DNAse_ENCODE_hg38_ENCFF163GBM.bigwig	NA
FALSE	encode	encode	NA	HAP1_WT_H3K27ac_rep1_rep2	HAP1	HAP1	WT	H3K27ac	rep1_rep2	/TACL/PK/Public_ChIP/Encode_H3K27ac/Hap1_Encode4_hg38_H3K27ac_signalpvalue_ENCFF412ZXR.bigwig	NA
TRUE	encode	encode	NA	HAP1_WT_H3K4me1_rep1_rep2	HAP1	HAP1	WT	H3K4me1	rep1_rep2	/TACL/PK/Public_ChIP/Encode_H3K4me1/HAP1_H3K4me1_ENCODE_hg38_pval_ENCFF408MBW.bigwig	/TACL/PK/Public_ChIP/Encode_H3K4me1/HAP1_H3K4me1_ENCODE_hg38_fc_ENCFF884TTU.bigWig
FALSE	encode	encode	NA	HAP1_WT_H3K4me3_rep1_rep2	HAP1	HAP1	WT	H3K4me3	rep1_rep2	/TACL/PK/Public_ChIP/Encode_H3K4me3/Hap1_Encode4_hg38_H3K4me3_signalpvalue_ENCFF507DOD.bigwig	NA
FALSE	PK	VER10253	VER10253_TACL_MR_ChIP_eHAP1_C17_WT_H3K9me3_rep1	C17_WT_H3K9me3_rep1	C17	C17	WT	H3K9me3	rep1	/TACL/PK/4DN_ChIP/VER10253/outputs_VER10253/chip.signal_p-value/VER10253_TACL_MR_ChIP_eHAP1_C17_WT_H3K9me3_rep1.pval.signal.bigwig	/TACL/PK/4DN_ChIP/VER10253/outputs_VER10253/chip.signal_fold-change/VER10253_TACL_MR_ChIP_eHAP1_C17_WT_H3K9me3_rep1.fc.signal.bigwig
TRUE	PK	VER10253	VER10253_TACL_MR_ChIP_eHAP1_C17_STAG2AID_C2_IAA3h_NIPBL_rep1	C17_STAG2AID_C2_TACL-ON_IAA_NIPBL_rep1	C17_STAG2AID_C2_TMAU2TIR1	C17_STAG2AID_C2	TACL-ON_IAA	NIPBL	rep1	/TACL/PK/4DN_ChIP/VER10253/outputs_VER10253/chip.signal_p-value/VER10253_TACL_MR_ChIP_eHAP1_C17_STAG2AID_C2_IAA3h_NIPBL_rep1.pval.signal.bigwig	/TACL/PK/4DN_ChIP/VER10253/outputs_VER10253/chip.signal_fold-change/VER10253_TACL_MR_ChIP_eHAP1_C17_STAG2AID_C2_IAA3h_NIPBL_rep1.fc.signal.bigwig
TRUE	PK	VER10253	VER10253_TACL_MR_ChIP_eHAP1_C17_STAG2AID_C2_IAA3h_SMC1_rep1	C17_STAG2AID_C2_TACL-ON_IAA_SMC1_rep1	C17_STAG2AID_C2_TMAU2TIR1	C17_STAG2AID_C2	TACL-ON_IAA	SMC1	rep1	/TACL/PK/4DN_ChIP/VER10253/outputs_VER10253/chip.signal_p-value/VER10253_TACL_MR_ChIP_eHAP1_C17_STAG2AID_C2_IAA3h_SMC1_rep1.pval.signal.bigwig	/TACL/PK/4DN_ChIP/VER10253/outputs_VER10253/chip.signal_fold-change/VER10253_TACL_MR_ChIP_eHAP1_C17_STAG2AID_C2_IAA3h_SMC1_rep1.fc.signal.bigwig
TRUE	PK	VER10946	VER10946_TACL_MR_CHIPseq_eHAP1_C17_TMAU2_Dox_CTCF	C17_TACL-OFF_CTCF_rep1	C17_TMAU2	C17	TACL-OFF	CTCF	rep1	/TACL/PK/4DN_ChIP/VER10946/outputs/chip.signal_p-value/VER10946_TACL_MR_CHIPseq_eHAP1_C17_TMAU2_Dox_CTCF.pval.signal.bigwig	/TACL/PK/4DN_ChIP/VER10946/outputs/chip.signal_fold-change/VER10946_TACL_MR_CHIPseq_eHAP1_C17_TMAU2_Dox_CTCF.fc.signal.bigwig
TRUE	PK	VER10946	VER10946_TACL_MR_CHIPseq_eHAP1_C17_WT_STAG1	C17_WT_STAG1_rep1	C17	C17	WT	STAG1	rep1	/TACL/PK/4DN_ChIP/VER10946/outputs/chip.signal_p-value/VER10946_TACL_MR_CHIPseq_eHAP1_C17_WT_STAG1.pval.signal.bigwig	/TACL/PK/4DN_ChIP/VER10946/outputs/chip.signal_fold-change/VER10946_TACL_MR_CHIPseq_eHAP1_C17_STAG2AID_C2_TIR1_IAA_STAG1.fc.signal.bigwig
