chrom	start	end	teto_id	tacl_domain_stag2_iaa_start	tacl_domain_stag2_iaa_end	tacl_domain_stag2_wt_start	tacl_domain_stag2_wt_end
chr3	32710370	34267172	1	33011755	33868448	32987119	33868448
chr17	19348155	21034668	2	19269121	19990041	19237080	20094364
chr1	237514789	239990427	3	237379912	238896156	237382410	238908894
chr18	46949582	48492721	4	47094792	48483374	46872368	48477484
chr8	64261002	66451818	5	64509358	66183060	64555566	66149785
chrX	131792264	133688381	6	131825018	132981734	131841776	132950616
chr15	56391142	58292274	7	56716959	58189251	56668441	58162117
chr18	55225594	57174399	8	55575800	56870876	55773383	57037055
chr13	61946766	65660533	9	61874423	64105107	62032619	64075139
chr3	52839308	56309637	10	52848558	54784593	53077954	54735937
chr9	33029718	35017875	11	33698689	34615601	33462662	34646906
chr10	60428007	63773965	12	60938061	62852264	60944894	62856738
chr11	94593974	97202372	13	95079918	96442796	95199847	96444598
chr7	75421996	76507403	14	75432829	76320253	75432829	76429227
chr8	114152551	117061146	15	114548899	116345748	114453063	116290580
chr5	128193307	130692301	16	128525172	130239701	128525064	129908104
chr4	109981030	112067813	17	110035139	112067595	110018976	112207115
chr18	74541535	77045026	18	75191713	76995145	74748358	76947971
chr4	109981030	112067813	19	110035139	112067595	110018976	112207115
chr20	50973223	53969861	20	51074974	52186486	51149397	52670760
chr6	63917202	68349334	21	65183448	67547190	65395421	67626747
chr19	27750204	31444954	22	28931280	30499991	28931913	30624422
chr16	58801619	62142926	23	58495717	60430316	58737988	60631205
chr10	125374115	128161719	24	125521672	127585217	125744790	127845458
chr17	42017995	43347297	25	42451018	43117045	42371447	43214347
chr2	50473017	53833247	26	50674984	52946756	50671961	52948257
chr5	32608348	35961615	27	33411081	35254763	33413567	35008835
